"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered","Hour (yesterday)","Orders (yesterday)","Total sales (yesterday)","Net sales (yesterday)","Quantity ordered (yesterday)","Orders (yesterday) ","Total sales (yesterday) ","Net sales (yesterday) ","Quantity ordered (yesterday) "
"2026-08-28 00:00:00","#2145448",1,2318,2207.62,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142684",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145466",1,1157,989.52,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145456",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142663",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142722",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142712",0,0,0,0,"2026-08-27 00:00:00",1,2697,2568.57,5,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142675",0,0,0,0,"2026-08-27 00:00:00",1,1917,1713.33,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145385",1,1699,1618.1,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145432",1,5377,5120.95,7,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145402",1,1453,1383.81,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145395",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145412",1,1617,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145422",1,1810,1723.81,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145434",1,118,0,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145404",1,1517,1332.38,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145383",1,4497,4282.86,9,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145449",1,1999,1903.81,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145457",1,991,943.81,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142685",0,0,0,0,"2026-08-27 00:00:00",1,1895,1804.76,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142662",0,0,0,0,"2026-08-27 00:00:00",1,1426,1358.1,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142713",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142723",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142674",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142705",0,0,0,0,"2026-08-27 00:00:00",1,1481,1410.48,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142693",0,0,0,0,"2026-08-27 00:00:00",1,1634,1556.19,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145441",1,1649,1570.48,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145394",1,2069,1970.48,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145423",1,2100,1887.62,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145413",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145405",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145435",1,1667,1475.24,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145382",1,1617,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142665",0,0,0,0,"2026-08-27 00:00:00",1,1842.3,1754.57,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142724",0,0,0,0,"2026-08-27 00:00:00",1,1349.1,1284.86,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142714",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142682",0,0,0,0,"2026-08-27 00:00:00",1,1599,1522.86,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145460",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145450",1,1848,1760,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145458",1,2069,1970.48,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145446",1,2508,2276.2,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142694",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142673",0,0,0,0,"2026-08-27 00:00:00",1,1849,1760.95,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142702",0,0,0,0,"2026-08-27 00:00:00",1,2208,2102.86,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142732",0,0,0,0,"2026-08-27 00:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145414",1,0,0,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145424",1,1187,1018.1,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145393",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142704",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,2,-100,-100,-100,-100
