"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered"
"2026-08-27 05:00:00","#2142810",1,2069,1970.48,2
"2026-08-27 05:00:00","#2142806",1,1699,1618.1,2
"2026-08-27 05:00:00","#2142809",1,3116,2855.24,5
"2026-08-27 05:00:00","#2142808",1,3095,2835.24,5
"2026-08-27 05:00:00","#2142811",1,1948,1855.24,4
"2026-08-27 05:00:00","#2142807",1,1499,1427.62,2
"2026-08-27 06:00:00","#2142824",1,1848,1760,4
"2026-08-27 06:00:00","#2142814",1,991,943.8,1
"2026-08-27 06:00:00","#2142832",1,1699,1618.1,2
"2026-08-27 06:00:00","#2142823",1,1617,1427.62,2
"2026-08-27 06:00:00","#2142822",1,1699,1618.1,2
"2026-08-27 06:00:00","#2142834",1,1617,1427.62,1
"2026-08-27 06:00:00","#2142815",1,1699,1618.1,2
"2026-08-27 06:00:00","#2142825",1,1699,1618.1,1
"2026-08-27 06:00:00","#2142833",1,989.1,942,1
"2026-08-27 06:00:00","#2142820",1,1998,1902.86,4
"2026-08-27 06:00:00","#2142818",1,1399,1332.38,1
"2026-08-27 06:00:00","#2142828",1,1699,1618.1,2
"2026-08-27 06:00:00","#2142827",1,4598,4379.05,5
"2026-08-27 06:00:00","#2142831",1,1220,1161.9,1
"2026-08-27 06:00:00","#2142816",1,1849,1760.96,2
"2026-08-27 06:00:00","#2142826",1,2248,2140.96,4
"2026-08-27 06:00:00","#2142830",1,1617,1427.62,1
"2026-08-27 06:00:00","#2142821",1,2069,1970.48,2
"2026-08-27 06:00:00","#2142829",1,1699,1618.1,2
"2026-08-27 07:00:00","#2142848",1,1898,1807.62,4
"2026-08-27 07:00:00","#2142878",1,2187,1970.48,2
"2026-08-27 07:00:00","#2142866",1,2187,1970.48,2
"2026-08-27 07:00:00","#2142856",1,1599,1522.86,1
"2026-08-27 07:00:00","#2142840",1,2208,2102.86,4
"2026-08-27 07:00:00","#2142870",1,5097,4854.29,9
"2026-08-27 07:00:00","#2142851",1,1617,1427.62,2
"2026-08-27 07:00:00","#2142861",1,1399,1332.38,1
"2026-08-27 07:00:00","#2142859",1,2552,2318.1,2
"2026-08-27 07:00:00","#2142869",1,2083,1983.81,3
"2026-08-27 07:00:00","#2142847",1,1399,1332.38,1
"2026-08-27 07:00:00","#2142860",1,1717,1522.86,1
"2026-08-27 07:00:00","#2142850",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142868",1,1427,1359.05,1
"2026-08-27 07:00:00","#2142858",1,1617,1427.62,1
"2026-08-27 07:00:00","#2142846",1,1699,1618.1,2
"2026-08-27 07:00:00","#2142876",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142835",1,3726,3548.57,6
"2026-08-27 07:00:00","#2142879",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142849",1,1699,1618.1,2
"2026-08-27 07:00:00","#2142857",1,2248,2140.95,3
"2026-08-27 07:00:00","#2142867",1,1998,1902.86,4
"2026-08-27 07:00:00","#2142841",1,1817,1618.1,2
"2026-08-27 07:00:00","#2142838",1,2998,2855.24,4
"2026-08-27 07:00:00","#2142852",1,1699,1618.1,2
"2026-08-27 07:00:00","#2142862",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142874",1,2187,1970.48,2
"2026-08-27 07:00:00","#2142844",1,2797,2663.81,5
"2026-08-27 07:00:00","#2142837",1,4416,4205.72,7
"2026-08-27 07:00:00","#2142865",1,1809,1722.86,2
"2026-08-27 07:00:00","#2142855",1,2066,1855.24,4
"2026-08-27 07:00:00","#2142843",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142873",1,1599,1522.86,1
"2026-08-27 07:00:00","#2142836",1,1349.1,1284.86,1
"2026-08-27 07:00:00","#2142854",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142864",1,2069,1970.48,2
"2026-08-27 07:00:00","#2142872",1,1817,1618.1,2
"2026-08-27 07:00:00","#2142842",1,891.9,849.43,1
"2026-08-27 07:00:00","#2142839",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142863",1,2069,1970.48,2
"2026-08-27 07:00:00","#2142853",1,1499,1427.62,2
"2026-08-27 07:00:00","#2142845",1,1549,1475.24,1
"2026-08-27 07:00:00","#2142875",1,1351,1286.67,1
"2026-08-27 08:00:00","#2142885",1,1549,1475.24,1
"2026-08-27 08:00:00","#2142959",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142947",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142893",1,1998,1902.86,4
"2026-08-27 08:00:00","#2142961",1,1484,1413.33,1
"2026-08-27 08:00:00","#2142951",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142933",1,3048,2902.86,5
"2026-08-27 08:00:00","#2142903",1,1519,1446.67,1
"2026-08-27 08:00:00","#2142915",1,2069,1970.48,2
"2026-08-27 08:00:00","#2142925",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142882",1,2069,1970.48,2
"2026-08-27 08:00:00","#2142940",1,2149,2046.67,2
"2026-08-27 08:00:00","#2142894",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142948",1,1637,1446.67,1
"2026-08-27 08:00:00","#2142956",1,1948,1855.24,4
"2026-08-27 08:00:00","#2142966",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142904",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142934",1,5255,5004.76,9
